[2026-03-26 21:57:32] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260326_215732.log
[2026-03-26 21:57:33] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-26 21:57:33] [INFO    ] [profile_manager] Perfiles cargados: 3
[2026-03-26 21:57:33] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-26 21:57:33] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-26 21:57:33] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-26 21:57:33] [INFO    ] [app] Interfaz Flet iniciada
[2026-03-26 21:57:34] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-26 21:57:34] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-26 21:57:34] [INFO    ] [installer] Manifest cargado: 876 versiones disponibles
[2026-03-26 21:57:34] [INFO    ] [version_manager] Caché actualizado: 876 versiones disponibles
[2026-03-26 21:57:35] [INFO    ] [installer] Manifest cargado: 876 versiones disponibles
[2026-03-26 21:57:35] [INFO    ] [version_manager] Caché actualizado: 876 versiones disponibles
[2026-03-26 21:57:43] [INFO    ] [version_manager] Versión 1.9.4 ya está instalada, omitiendo
[2026-03-26 21:58:05] [INFO    ] [modrinth_service] Modrinth: 20 resultados (type=mod, sort=relevance, offset=0)
