[2026-03-14 15:01:28] [INFO    ] [logger] Logger iniciado. Archivo de log: logs\launcher_20260314_150128.log
[2026-03-14 15:01:29] [DEBUG   ] [settings] Configuración cargada desde data\launcher_settings.json
[2026-03-14 15:01:29] [INFO    ] [profile_manager] Perfiles cargados: 1
[2026-03-14 15:01:29] [INFO    ] [account_manager] Cuentas cargadas: 1
[2026-03-14 15:01:29] [INFO    ] [version_manager] Actualizando caché de versiones disponibles...
[2026-03-14 15:01:29] [INFO    ] [installer] Descargando manifest de versiones de Mojang...
[2026-03-14 15:01:29] [INFO    ] [app] Interfaz iniciada
[2026-03-14 15:01:30] [INFO    ] [installer] Manifest cargado: 871 versiones disponibles
[2026-03-14 15:01:30] [INFO    ] [version_manager] Caché actualizado: 871 versiones disponibles
[2026-03-14 15:03:39] [INFO    ] [system_utils] Java encontrado en PATH: C:\Program Files (x86)\Common Files\Oracle\Java\java8path\java.EXE v1.8.0_481
[2026-03-14 15:03:39] [INFO    ] [system_utils] Total instalaciones de Java encontradas: 3
[2026-03-14 15:03:39] [INFO    ] [java_manager] Instalaciones de Java válidas: 0
[2026-03-14 15:03:55] [DEBUG   ] [microsoft_auth] Device flow iniciado. Código: 97HJT6CW
